a52dec 0.8.0-2
xfce4-appfinder 4.20.0-2
xfce4-artwork 0.1.1a_git20110420-6.1
xfce4-battery-plugin 1.1.6-1
xfce4-clipman-plugin 1.6.7-1
xfce4-cpufreq-plugin 1.2.9-1
xfce4-cpugraph-plugin 1.2.11-1
xfce4-dict 0.8.8-2
xfce4-diskperf-plugin 2.7.1-1
xfce4-eyes-plugin 4.6.2-1
xfce4-fsguard-plugin 1.1.4-1
xfce4-genmon-plugin 4.2.1-1
xfce4-mailwatch-plugin 1.3.2-1
xfce4-mount-plugin 1.1.7-1
xfce4-mpc-plugin 0.5.5-1
xfce4-netload-plugin 1.4.2-1
xfce4-notes-plugin 1.11.2-1
xfce4-notifyd 0.9.6-5
xfce4-panel 4.20.2-1
xfce4-power-manager 4.20.0-3
xfce4-pulseaudio-plugin 0.4.9-2
xfce4-screensaver 4.18.4-2
xfce4-screenshooter 1.11.1-3
xfce4-sensors-plugin 1.4.5-1
xfce4-session 4.20.0-5
xfce4-settings 4.20.0-3
xfce4-smartbookmark-plugin 0.5.3-1
xfce4-systemload-plugin 1.3.3-1
xfce4-taskmanager 1.5.8-1
xfce4-terminal 1.1.4-1
xfce4-time-out-plugin 1.1.4-1
xfce4-timer-plugin 1.7.3-1
xfce4-verve-plugin 2.0.4-1
xfce4-wavelan-plugin 0.6.4-1
xfce4-weather-plugin 0.11.3-1
xfce4-whiskermenu-plugin 2.9.0-1
xfce4-xkb-plugin 0.8.5-1
xfconf 4.20.0-2
xfdesktop 4.20.0-7
xfsprogs 6.12.0-1
xfwm4 4.20.0-2
xfwm4-themes 4.10.0-6
xkeyboard-config 2.43-1
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-server 21.1.15-1
xorg-server-common 21.1.15-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.3-1
xorg-xhost 1.0.10-1
xorg-xinit 1.4.3-1
xorg-xkbcomp 1.4.7-1
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.8-1
